charge_travail,revenu_mensuel,heure_supplementaires,nombre_participation_pee,annee_experience_totale,age,annes_sous_responsable_actuel,nombre_experiences_precedentes,statut_marital_célibataire,distance_domicile_travail
80,2279,0,0,7,27,3,1,1.0,9
81,5916,1,0,8,35,1,3,0.0,23
80,2089,0,3,7,43,2,4,0.0,7
80,16792,0,1,22,45,8,9,0.0,2
81,3564,1,1,8,37,7,1,0.0,21
80,4425,0,0,10,35,2,5,1.0,2
80,5265,0,1,11,42,2,2,0.0,21
80,6553,0,0,14,38,0,9,0.0,2
80,6261,0,1,9,38,7,3,0.0,29
80,4298,0,1,6,27,0,5,0.0,1
81,6804,1,2,7,49,7,1,0.0,18
81,3815,1,1,5,34,0,1,0.0,10
81,2741,1,1,15,40,7,8,0.0,19
81,6673,1,0,17,38,0,7,0.0,29
80,7639,0,3,10,29,9,1,0.0,27
81,2328,1,1,4,22,2,1,0.0,5
80,2153,0,0,8,36,7,1,1.0,18
80,4876,0,1,5,40,2,9,0.0,9
80,9396,0,1,17,46,3,7,0.0,1
80,10400,0,0,14,32,8,1,0.0,4
80,8474,0,0,12,30,8,1,1.0,1
80,9981,0,0,7,27,7,1,1.0,20
80,12490,0,2,16,51,7,5,0.0,8
81,2657,1,0,8,30,4,5,1.0,3
81,13591,1,0,16,41,0,3,1.0,6
80,6696,0,0,9,30,1,5,1.0,26
80,2058,0,0,7,29,5,0,1.0,1
80,8865,0,0,23,45,8,6,1.0,6
80,5940,0,1,16,54,5,2,0.0,3
80,5914,0,0,16,36,7,8,1.0,5
80,2622,0,0,7,33,1,6,0.0,4
81,12185,1,3,10,37,7,1,0.0,11
80,10609,0,2,17,38,13,0,0.0,3
80,4345,0,1,6,31,4,0,0.0,1
80,2177,0,1,7,59,0,3,0.0,3
80,2793,0,1,13,37,8,4,0.0,4
80,7918,0,1,11,29,1,1,0.0,1
80,8789,0,0,10,35,8,1,1.0,1
81,2389,1,0,4,29,1,1,1.0,18
80,3212,0,0,6,52,2,7,1.0,2
80,19232,0,0,22,42,15,1,0.0,4
80,2267,0,0,7,59,2,8,0.0,6
80,19517,0,1,32,50,6,3,0.0,1
81,2436,1,1,8,33,4,5,0.0,14
81,16064,1,1,22,43,9,5,0.0,16
80,2707,0,0,13,33,7,7,0.0,2
81,19068,1,0,33,52,12,1,1.0,2
80,3931,0,1,6,32,2,2,0.0,4
81,3730,1,0,4,32,2,0,1.0,1
80,2232,0,3,7,39,2,7,0.0,1
80,4465,0,0,4,32,2,0,0.0,26
80,3072,0,2,17,41,0,2,0.0,19
80,3319,0,2,9,40,7,1,0.0,24
80,19202,0,1,25,45,7,0,0.0,1
80,13675,0,1,9,31,2,9,0.0,3
80,2911,0,1,2,33,2,1,0.0,5
80,5957,0,1,13,34,9,6,0.0,2
80,3920,0,1,17,37,2,2,0.0,1
80,6434,0,1,9,45,2,4,0.0,7
80,10048,0,2,17,37,0,6,0.0,10
80,10938,0,0,20,39,8,0,1.0,2
80,2340,0,0,6,29,5,1,1.0,15
81,6545,1,0,10,42,2,3,1.0,17
80,6931,0,1,10,29,2,2,0.0,20
80,4898,0,2,5,25,2,0,0.0,1
81,2593,1,1,10,42,8,0,0.0,2
80,19436,0,1,22,40,9,0,0.0,2
80,2723,0,0,1,51,0,1,0.0,1
80,3479,0,0,6,31,4,0,1.0,29
80,2794,0,0,5,32,3,1,0.0,7
80,5249,0,1,13,38,5,3,0.0,2
80,2176,0,0,9,32,4,4,1.0,2
81,16872,1,1,28,46,7,3,0.0,2
80,3485,0,0,5,28,0,2,1.0,2
80,6644,0,2,10,29,0,2,0.0,2
80,5582,0,1,10,31,8,0,0.0,23
80,4000,0,2,6,25,5,1,0.0,5
81,13496,1,0,21,45,10,0,0.0,20
80,3210,0,1,16,36,11,0,0.0,6
81,19045,1,0,37,55,13,0,1.0,1
81,11849,1,1,10,47,9,1,0.0,29
80,2070,0,1,5,28,4,1,0.0,9
80,6502,0,1,7,37,1,4,0.0,6
80,3230,0,0,3,21,0,1,1.0,3
81,13603,1,2,15,37,2,2,0.0,1
80,11996,0,1,10,35,2,7,0.0,22
81,5605,1,1,8,38,7,1,0.0,7
80,6397,0,1,6,26,4,1,0.0,1
80,19144,0,2,28,50,6,3,0.0,4
81,17584,1,3,21,53,3,3,0.0,3
80,4907,0,0,20,42,6,1,0.0,1
80,4554,0,0,10,29,9,1,1.0,2
81,5415,1,1,12,55,8,3,0.0,20
81,4741,1,1,5,26,3,1,0.0,11
80,2115,0,0,17,37,7,1,1.0,1
81,3161,1,1,19,44,0,3,0.0,24
80,5745,0,1,10,38,2,9,0.0,23
81,2373,1,1,5,26,2,2,0.0,16
80,3310,0,0,5,28,2,1,1.0,8
81,18665,1,0,22,49,2,9,1.0,10
80,4485,0,0,10,36,7,4,1.0,3
80,2789,0,1,2,31,2,1,0.0,5
81,5828,1,0,8,26,4,1,1.0,4
81,2326,1,3,4,37,2,1,0.0,9
80,13525,0,1,23,42,8,5,0.0,26
80,1420,0,0,0,18,0,1,1.0,3
80,8020,0,2,12,35,9,0,0.0,16
80,3688,0,2,4,36,0,4,0.0,18
80,5482,0,1,13,51,2,5,0.0,2
80,16015,0,0,22,41,4,1,1.0,2
80,1200,0,0,0,18,0,1,1.0,10
80,5661,0,0,9,28,7,0,1.0,16
80,6929,0,1,10,31,7,4,0.0,7
80,9613,0,3,19,39,7,0,0.0,1
80,5674,0,1,11,36,8,7,0.0,24
80,5484,0,1,13,32,8,1,0.0,7
80,12061,0,1,19,38,1,3,0.0,25
81,5660,1,1,12,58,2,2,0.0,1
81,4821,1,1,6,31,3,0,0.0,5
80,6410,0,0,9,31,0,3,0.0,2
80,5210,0,1,24,45,11,1,0.0,7
81,2695,1,1,3,31,2,0,0.0,2
80,11878,0,2,12,33,8,6,0.0,5
81,17068,1,0,21,39,10,1,0.0,10
80,2455,0,0,9,43,7,0,1.0,10
81,13964,1,0,25,49,7,7,1.0,1
80,4941,0,0,11,52,7,2,0.0,8
81,2478,1,0,4,27,2,1,1.0,5
81,5228,1,0,13,32,9,1,0.0,8
81,4478,1,0,5,27,4,1,1.0,2
80,7547,0,3,13,31,7,4,0.0,7
80,5055,0,0,10,32,7,7,1.0,2
81,3464,1,0,5,28,2,5,0.0,2
80,5775,0,2,11,30,9,1,0.0,28
80,8943,0,1,10,31,9,1,0.0,7
80,19272,0,1,21,39,3,1,0.0,7
81,5238,1,0,12,39,0,4,0.0,3
80,4682,0,0,9,33,1,3,1.0,10
80,18300,0,1,21,47,1,4,0.0,5
80,5257,0,1,9,43,0,1,0.0,10
81,6349,1,1,6,27,4,0,0.0,1
80,4869,0,0,20,54,3,3,1.0,20
80,9985,0,1,10,43,0,8,0.0,7
80,3697,0,2,12,45,8,9,0.0,8
81,7457,1,3,6,40,2,2,0.0,1
81,2119,1,0,7,29,7,1,0.0,8
80,3983,0,0,4,29,2,0,1.0,9
80,6118,0,3,10,30,2,1,0.0,5
80,6214,0,1,8,27,7,1,0.0,8
80,6347,0,2,8,37,4,7,0.0,5
81,11510,1,1,12,38,9,0,0.0,15
81,7143,1,0,11,31,10,1,1.0,7
81,8268,1,2,7,29,7,1,0.0,10
80,8095,0,0,17,35,13,0,1.0,5
80,2904,0,2,4,23,2,1,0.0,26
81,6032,1,0,8,41,2,6,1.0,6
80,2976,0,0,5,47,0,3,1.0,4
80,15992,0,0,16,42,0,2,1.0,23
80,4649,0,1,4,29,2,1,0.0,2
81,2696,1,1,4,42,0,0,0.0,2
80,2370,0,1,8,32,7,1,0.0,2
80,12504,0,1,15,48,0,3,0.0,29
81,5974,1,2,13,37,7,4,0.0,6
81,4736,1,1,4,30,2,7,0.0,25
80,5296,0,1,8,26,7,1,0.0,1
80,6781,0,0,14,42,0,3,1.0,2
81,2174,1,0,3,21,2,1,1.0,1
80,6653,0,0,7,36,0,4,1.0,1
80,9699,0,1,16,36,12,4,0.0,3
80,6755,0,0,15,57,2,2,0.0,1
81,2213,1,1,10,40,7,3,0.0,10
80,2610,0,0,3,21,2,1,1.0,9
81,2851,1,0,1,33,0,1,1.0,5
80,3452,0,1,17,37,3,6,0.0,10
80,5258,0,0,7,46,0,2,0.0,7
80,9355,0,0,8,41,7,1,1.0,4
80,10496,0,0,20,50,3,6,1.0,10
81,6380,1,2,8,40,0,2,0.0,22
81,2657,1,0,3,31,2,0,1.0,9
80,2716,0,0,1,21,0,1,1.0,12
80,2201,0,0,6,29,2,9,1.0,23
80,6540,0,0,10,35,0,9,1.0,9
80,3816,0,1,5,27,4,1,0.0,1
80,5253,0,0,7,28,7,1,1.0,9
80,10965,0,0,26,49,0,8,1.0,7
80,4936,0,1,18,51,7,4,0.0,14
80,2543,0,1,6,36,2,4,0.0,2
81,5304,1,0,9,34,4,8,1.0,19
81,16659,1,0,30,55,2,2,1.0,2
81,4260,1,1,5,24,3,1,0.0,10
80,2476,0,1,1,30,0,1,0.0,2
80,3102,0,0,7,26,4,0,1.0,3
80,2244,0,1,2,22,2,1,0.0,11
80,7596,0,2,10,36,0,1,0.0,2
81,2285,1,0,3,30,0,9,1.0,4
80,3034,0,1,18,37,17,1,0.0,14
80,5715,0,2,8,40,3,7,0.0,2
80,2576,0,1,8,42,2,3,0.0,1
81,4197,1,0,18,37,1,2,1.0,10
80,14336,0,1,25,43,9,1,0.0,12
80,3448,0,1,20,40,0,6,0.0,2
80,19406,0,1,24,54,2,4,0.0,5
80,6538,0,1,6,34,2,9,0.0,4
80,4306,0,1,13,31,12,1,0.0,7
80,2258,0,1,8,43,2,7,0.0,21
81,4522,1,0,8,43,2,4,0.0,8
81,4487,1,0,5,25,3,1,1.0,4
81,4449,1,2,15,37,7,3,0.0,25
80,2218,0,1,4,31,2,1,0.0,1
81,19197,1,1,21,39,6,1,0.0,1
80,13212,0,3,36,56,7,9,0.0,6
80,6577,0,0,6,30,4,0,1.0,12
80,8392,0,1,10,41,7,1,0.0,1
80,4558,0,1,10,28,8,1,0.0,17
80,4031,0,1,6,25,2,5,0.0,3
81,7969,1,0,28,52,4,2,0.0,3
80,2654,0,2,8,45,2,3,0.0,10
80,16555,0,0,31,52,4,2,0.0,4
80,4556,0,1,19,42,2,2,0.0,29
80,6091,0,0,11,30,2,2,1.0,2
80,19566,0,0,33,60,10,5,0.0,7
80,4810,0,1,19,46,8,2,0.0,18
80,4523,0,3,7,42,4,0,0.0,28
81,3202,1,0,6,24,4,1,1.0,1
80,2351,0,1,3,34,0,0,0.0,6
81,1702,1,1,1,38,0,1,0.0,2
80,18041,0,0,21,40,12,0,0.0,2
80,2886,0,2,3,26,2,1,0.0,23
80,2097,0,1,9,30,4,4,0.0,3
80,11935,0,0,10,29,7,1,0.0,3
80,2546,0,0,6,29,1,5,0.0,25
80,2564,0,0,1,19,0,1,1.0,2
80,8412,0,0,10,30,8,0,0.0,22
80,14118,0,1,32,57,0,3,0.0,29
80,17046,0,1,28,50,7,0,0.0,29
80,2564,0,0,12,30,7,0,1.0,2
80,10266,0,0,22,60,11,4,0.0,28
80,5070,0,3,20,47,4,5,0.0,2
80,17861,0,0,26,46,1,6,0.0,2
80,4230,0,0,6,35,3,0,1.0,22
80,3780,0,0,19,54,0,7,1.0,8
80,2768,0,1,14,34,7,3,0.0,2
81,9071,1,1,15,46,2,2,0.0,10
80,10648,0,1,13,31,8,1,0.0,9
81,13610,1,0,15,33,7,7,0.0,15
80,3408,0,3,8,33,3,7,0.0,10
80,2983,0,0,4,30,2,0,1.0,7
81,7632,1,0,10,35,0,4,0.0,16
80,9824,0,0,12,31,0,3,0.0,20
81,9950,1,3,11,34,2,9,0.0,23
80,2093,0,1,8,42,0,4,0.0,5
80,9980,0,0,10,36,7,1,1.0,10
80,3894,0,0,4,22,2,5,1.0,4
80,4051,0,1,14,48,7,2,0.0,2
80,16835,0,0,37,55,7,3,1.0,18
80,6230,0,0,16,41,10,7,1.0,10
80,4717,0,0,15,35,9,9,0.0,1
80,13237,0,0,22,40,13,7,1.0,6
80,3755,0,1,8,39,7,1,0.0,8
81,6582,1,0,10,31,5,4,1.0,2
81,7406,1,1,10,42,8,1,0.0,24
80,4805,0,1,9,45,7,0,0.0,2
81,2741,1,1,8,26,0,0,0.0,17
80,4262,0,2,8,29,2,4,0.0,19
80,16184,0,1,10,33,5,4,0.0,1
80,11557,0,1,10,31,1,9,0.0,7
81,1878,1,0,0,18,0,1,1.0,5
80,10932,0,1,20,40,1,3,0.0,28
81,6811,1,0,10,41,7,2,1.0,2
80,4306,0,2,8,26,0,5,0.0,29
80,4859,0,0,5,35,3,1,1.0,1
80,5337,0,0,10,34,7,1,1.0,21
81,2340,1,0,1,26,0,1,1.0,24
80,7491,0,0,12,37,2,4,1.0,1
80,10527,0,0,28,46,2,5,0.0,18
80,16595,0,1,22,41,8,7,0.0,2
80,8834,0,1,9,37,7,1,0.0,9
81,5577,1,2,18,52,9,3,0.0,6
80,4707,0,0,6,32,2,8,0.0,11
80,2400,0,2,3,24,1,0,0.0,24
80,9824,0,1,18,38,0,3,0.0,10
80,6447,0,1,8,37,3,6,0.0,1
81,19502,1,1,31,49,9,1,0.0,18
81,2725,1,2,6,24,4,1,0.0,23
80,6272,0,2,6,26,4,1,0.0,28
80,2127,0,1,1,24,0,1,0.0,17
80,18200,0,1,32,50,7,1,0.0,3
80,2096,0,0,7,25,6,1,0.0,13
81,2886,1,1,6,24,2,1,0.0,7
80,2033,0,1,1,30,0,1,0.0,12
81,3622,1,1,6,34,3,1,0.0,1
80,4233,0,0,9,31,2,2,0.0,13
80,3681,0,0,9,35,2,4,1.0,25
80,5460,0,2,13,31,7,4,0.0,6
80,2187,0,2,6,27,3,0,0.0,6
81,9602,1,1,17,37,0,4,0.0,2
80,2836,0,0,1,20,0,1,1.0,1
80,4089,0,2,10,42,2,1,0.0,2
81,16627,1,1,21,43,0,4,0.0,6
80,2619,0,0,8,38,0,3,1.0,1
81,5679,1,1,10,43,7,3,0.0,9
80,15402,0,1,21,48,2,7,0.0,1
80,5985,0,0,10,44,2,4,1.0,1
81,2579,1,2,8,34,6,1,0.0,14
80,3041,0,1,5,27,2,0,0.0,2
80,3447,0,0,3,21,2,1,1.0,22
81,19513,1,1,26,44,1,4,0.0,3
80,2773,0,0,3,22,2,0,0.0,6
80,7104,0,0,6,33,2,0,0.0,8
81,6322,1,1,6,32,5,1,0.0,9
80,2083,0,1,1,30,0,1,0.0,3
80,8381,0,0,18,53,10,7,1.0,1
80,2691,0,1,10,34,8,1,0.0,1
80,4286,0,2,5,45,0,2,0.0,26
81,2659,1,1,3,26,2,1,0.0,6
80,9434,0,1,10,37,8,1,0.0,3
80,5561,0,1,6,29,2,1,0.0,3
80,6646,0,0,17,35,8,1,1.0,6
80,7725,0,1,15,33,7,3,0.0,6
80,10725,0,1,16,54,1,2,0.0,19
81,8847,1,1,13,36,2,2,0.0,9
80,2045,0,0,5,27,1,0,1.0,3
81,1009,1,0,1,20,1,1,1.0,10
81,3348,1,0,10,33,7,1,1.0,3
80,1281,0,2,1,35,0,1,0.0,3
80,2819,0,1,5,23,2,2,0.0,4
80,4851,0,1,4,25,2,0,0.0,8
80,4028,0,0,8,38,5,0,1.0,7
80,2720,0,1,10,29,8,1,0.0,1
80,8120,0,0,12,48,2,3,0.0,2
81,4647,1,2,6,27,4,1,0.0,3
80,4680,0,0,4,37,0,3,1.0,10
81,3221,1,3,20,50,8,1,0.0,28
80,8621,0,0,9,34,7,1,1.0,9
80,4577,0,0,4,24,0,9,1.0,3
80,4553,0,0,20,39,10,1,1.0,2
80,5396,0,0,10,32,8,1,1.0,10
81,6796,1,1,18,50,3,3,0.0,8
80,7625,0,0,10,38,8,0,1.0,1
80,7412,0,0,9,27,7,1,0.0,1
80,11159,0,0,10,32,7,3,1.0,3
80,4960,0,0,20,47,7,2,1.0,14
81,10475,1,1,20,40,12,5,0.0,5
80,14814,0,0,32,53,3,3,0.0,7
80,19141,0,3,23,41,6,3,0.0,10
80,5405,0,0,10,60,2,8,1.0,16
80,8793,0,2,9,27,7,1,0.0,10
80,19189,0,1,22,41,10,1,0.0,1
80,3875,0,1,4,50,2,7,0.0,8
81,2216,1,0,10,28,7,7,1.0,1
80,11713,0,1,10,36,5,9,0.0,8
81,7861,1,0,10,38,0,4,1.0,1
80,3708,0,0,9,44,4,2,1.0,24
81,13770,1,2,28,47,13,9,0.0,3
80,5304,0,1,10,30,7,7,0.0,27
80,2642,0,0,1,29,0,1,1.0,10
81,2759,1,0,7,42,2,6,0.0,19
80,6804,0,1,7,43,2,3,0.0,15
80,6142,0,0,10,34,3,3,1.0,8
80,2500,0,1,5,23,2,1,0.0,9
80,6389,0,1,12,39,6,9,0.0,3
80,11103,0,0,30,56,1,7,0.0,9
81,2342,1,0,5,40,3,0,1.0,2
80,6811,0,0,9,27,7,8,1.0,7
80,2297,0,2,2,29,2,1,0.0,10
80,2450,0,0,19,53,2,2,1.0,6
80,5093,0,1,16,35,0,2,0.0,2
80,5309,0,2,10,32,7,1,0.0,24
81,3057,1,1,6,38,1,6,0.0,2
80,5121,0,1,7,34,0,3,0.0,8
80,16856,0,0,34,52,16,1,0.0,3
81,2686,1,0,10,33,8,1,1.0,1
80,6180,0,0,6,25,4,1,1.0,26
80,6632,0,0,9,45,1,0,1.0,2
80,3505,0,0,2,23,2,1,1.0,10
81,6397,1,0,8,47,3,4,1.0,27
80,6274,0,0,6,34,4,1,1.0,2
81,19859,1,1,24,55,4,5,0.0,2
80,7587,0,0,10,36,9,1,1.0,8
80,4258,0,1,5,52,2,0,0.0,19
80,4364,0,1,5,26,0,3,0.0,1
80,4335,0,1,11,29,1,4,0.0,27
80,5326,0,0,6,26,2,6,1.0,8
80,3280,0,0,10,34,3,2,1.0,1
81,5485,1,2,9,54,4,9,0.0,19
80,4342,0,1,5,27,1,0,0.0,8
81,2782,1,2,6,37,3,0,0.0,10
81,5980,1,0,17,38,12,6,1.0,2
80,4381,0,0,6,34,3,1,1.0,2
80,2572,0,1,3,35,2,1,0.0,8
80,3833,0,2,7,30,2,3,0.0,1
80,4244,0,1,8,40,7,1,0.0,2
80,6500,0,1,6,34,2,5,0.0,8
80,18430,0,1,24,42,9,1,0.0,8
81,1601,1,2,1,23,0,1,0.0,6
80,2694,0,3,1,24,0,1,0.0,9
80,3149,0,1,9,52,4,8,0.0,11
80,17639,0,0,30,50,3,5,0.0,2
81,2319,1,1,1,29,0,1,0.0,1
80,11691,0,0,14,33,7,0,0.0,7
80,5324,0,0,6,33,2,5,1.0,16
81,16752,1,1,26,47,0,1,0.0,2
80,5228,0,1,10,36,5,0,0.0,1
80,2700,0,1,10,29,7,1,0.0,23
81,19246,1,0,40,58,8,7,1.0,2
80,2506,0,0,7,35,2,3,1.0,1
81,6062,1,1,8,42,2,9,0.0,1
80,4382,0,0,5,28,1,6,1.0,2
80,2143,0,1,8,36,4,4,0.0,13
